Attack category,Attack subcategory,Protocol,Port_Category,Duration_Cat,Emission
DoS,IGMP,a/n,Other,Short,a/n_Other_Short
Exploits,Miscellaneous,encap,Other,Short,encap_Other_Short
Fuzzers,OSPF,leaf-1,Other,Short,leaf-1_Other_Short
Fuzzers,FTP,tcp,Other,Medium,tcp_Other_Medium
Fuzzers,Syslog,udp,Other,Short,udp_Other_Short
Exploits,SIP,dcn,Other,Short,dcn_Other_Short
DoS,Miscellaneous,ddp,Other,Short,ddp_Other_Short
Reconnaissance,SunRPC Portmapper (UDP),udp,RPC,Short,udp_RPC_Short
Exploits,Miscellaneous,tcp,Database,Medium,tcp_Database_Medium
DoS,Browser,tcp,Web,Short,tcp_Web_Short
Exploits,SIP,pipe,Other,Short,pipe_Other_Short
Exploits,SMB,tcp,Other,Medium,tcp_Other_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Web Application,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,sctp,Other,Short,sctp_Other_Short
Backdoor,Unknown,tcp,Other,Medium,tcp_Other_Medium
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Reconnaissance,SunRPC Portmapper (UDP),udp,RPC,Short,udp_RPC_Short
Exploits,Miscellaneous,any,Other,Short,any_Other_Short
Exploits,SMTP,tcp,Mail,Medium,tcp_Mail_Medium
DoS,NetBIOS/SMB,ttp,Other,Short,ttp_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Miscellaneous,smp,Other,Short,smp_Other_Short
Exploits,Web Application,tcp,Web,Medium,tcp_Web_Medium
Exploits,Web Application,any,Other,Short,any_Other_Short
Fuzzers,Syslog,udp,Other,Short,udp_Other_Short
Fuzzers,OSPF,cbt,Other,Medium,cbt_Other_Medium
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
Fuzzers,OSPF,isis,Other,Short,isis_Other_Short
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Exploits,SMB,tlsp,Other,Short,tlsp_Other_Short
Reconnaissance,SCTP,tcf,Other,Short,tcf_Other_Short
DoS,TCP,secure-vmtp,Other,Short,secure-vmtp_Other_Short
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Backdoors,,unas,Other,Short,unas_Other_Short
DoS,Asterisk,sps,Other,Short,sps_Other_Short
Exploits,Miscellaneous Batch,tcp,Registered,Medium,tcp_Registered_Medium
DoS,Miscellaneous,ipv6,Other,Short,ipv6_Other_Short
Reconnaissance,ICMP,ifmp,Other,Short,ifmp_Other_Short
Generic,IXIA,sccopmce,Other,Short,sccopmce_Other_Short
Generic,IXIA,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Generic,IXIA,tcp,Web,Medium,tcp_Web_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Browser FTP,tcp,Other,Medium,tcp_Other_Medium
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Browser,tcp,Web,Short,tcp_Web_Short
Exploits,Miscellaneous,ipcv,Other,Short,ipcv_Other_Short
DoS,Miscellaneous,mhrp,Other,Short,mhrp_Other_Short
Fuzzers,FTP,tcp,Other,Medium,tcp_Other_Medium
Exploits,Miscellaneous,cftp,Other,Short,cftp_Other_Short
Backdoor,Unknown,ospf,Other,Long,ospf_Other_Long
DoS,Miscellaneous,ospf,Other,Long,ospf_Other_Long
Fuzzers,OSPF,sctp,Other,Short,sctp_Other_Short
Exploits,Browser FTP,tcp,Ephemeral,Short,tcp_Ephemeral_Short
Exploits,Miscellaneous,pgm,Other,Short,pgm_Other_Short
Reconnaissance,ICMP,scps,Other,Short,scps_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,SIP,eigrp,Other,Short,eigrp_Other_Short
DoS,Miscellaneous,sep,Other,Short,sep_Other_Short
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
DoS,XINETD,tcp,Other,Short,tcp_Other_Short
Exploits,Miscellaneous,xns-idp,Other,Short,xns-idp_Other_Short
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Reconnaissance,HTTP,tcp,Web,Medium,tcp_Web_Medium
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Miscellaneous,tcp,Web,Medium,tcp_Web_Medium
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,RPC,Short,tcp_RPC_Short
Generic,IXIA,tcp,Web,Short,tcp_Web_Short
Fuzzers,PPTP,tcp,Registered,Medium,tcp_Registered_Medium
Exploits,Miscellaneous,tcp,Mail,Medium,tcp_Mail_Medium
DoS,Browser,tcp,Web,Short,tcp_Web_Short
Exploits,Miscellaneous,skip,Other,Short,skip_Other_Short
DoS,ICMP,encap,Other,Short,encap_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Web Application,ax.25,Other,Short,ax.25_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
Fuzzers,OSPF,i-nlsp,Other,Short,i-nlsp_Other_Short
Reconnaissance,SunRPC Portmapper (UDP) UDP Service,udp,RPC,Short,udp_RPC_Short
Exploits,Browser,tcp,Ephemeral,Medium,tcp_Ephemeral_Medium
Reconnaissance,ICMP,unas,Other,Short,unas_Other_Short
Generic,IXIA,sctp,Other,Short,sctp_Other_Short
DoS,NetBIOS/SMB,unas,Other,Short,unas_Other_Short
Fuzzers,OSPF,gre,Other,Short,gre_Other_Short
Exploits,SMB,unas,Other,Short,unas_Other_Short
Exploits,Browser FTP,tcp,Ephemeral,Medium,tcp_Ephemeral_Medium
Fuzzers,OSPF,ospf,Other,Medium,ospf_Other_Medium
DoS,Miscellaneous,sctp,Other,Medium,sctp_Other_Medium
Exploits,Miscellaneous,trunk-2,Other,Short,trunk-2_Other_Short
Generic,IXIA,tcp,Ephemeral,Medium,tcp_Ephemeral_Medium
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Telnet,tcp,Other,Medium,tcp_Other_Medium
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Analysis,Port Scanners,uti,Other,Short,uti_Other_Short
Fuzzers,SMB,tcp,Other,Long,tcp_Other_Long
Fuzzers,PPTP,tcp,Registered,Medium,tcp_Registered_Medium
Exploits,Miscellaneous,xns-idp,Other,Short,xns-idp_Other_Short
Exploits,Web Application,ipv6,Other,Short,ipv6_Other_Short
Fuzzers,OSPF,sat-expak,Other,Short,sat-expak_Other_Short
Fuzzers,SMB,udp,Other,Long,udp_Other_Long
Exploits,Miscellaneous,ptp,Other,Short,ptp_Other_Short
DoS,Miscellaneous,mobile,Other,Short,mobile_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Backdoor,Unknown,ipv6,Other,Short,ipv6_Other_Short
Fuzzers,OSPF,vines,Other,Short,vines_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Reconnaissance,SunRPC Portmapper (UDP) TCP Service,udp,RPC,Short,udp_RPC_Short
Exploits,Miscellaneous,ospf,Other,Medium,ospf_Other_Medium
Exploits,Browser FTP,tcp,Ephemeral,Short,tcp_Ephemeral_Short
Exploits,Miscellaneous,bna,Other,Short,bna_Other_Short
Exploits,Web Application,unas,Other,Short,unas_Other_Short
Reconnaissance,ICMP,swipe,Other,Short,swipe_Other_Short
Reconnaissance,ICMP,unas,Other,Short,unas_Other_Short
Fuzzers,HTTP,udp,Registered,Short,udp_Registered_Short
Exploits,RTSP,unas,Other,Short,unas_Other_Short
Reconnaissance,SunRPC Portmapper (UDP) UDP Service,udp,RPC,Short,udp_RPC_Short
Exploits,Apache,tcp,Web,Short,tcp_Web_Short
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
DoS,Miscellaneous,pim,Other,Medium,pim_Other_Medium
DoS,IGMP,pgm,Other,Short,pgm_Other_Short
Fuzzers,FTP,tcp,Other,Medium,tcp_Other_Medium
DoS,FTP,tcp,Other,Medium,tcp_Other_Medium
Exploits,Browser,tcp,Web,Short,tcp_Web_Short
DoS,ICMP,sep,Other,Short,sep_Other_Short
Exploits,Browser,tcp,Ephemeral,Short,tcp_Ephemeral_Short
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
Exploits,Miscellaneous,sctp,Other,Short,sctp_Other_Short
Reconnaissance,ICMP,cftp,Other,Short,cftp_Other_Short
Fuzzers,Syslog,udp,Other,Short,udp_Other_Short
Fuzzers,BGP,tcp,Other,Short,tcp_Other_Short
DoS,Miscellaneous,bbn-rcc,Other,Short,bbn-rcc_Other_Short
Fuzzers,OSPF,cpnx,Other,Short,cpnx_Other_Short
Exploits,Apache,ipv6-frag,Other,Short,ipv6-frag_Other_Short
Backdoor,Unknown,ipcomp,Other,Short,ipcomp_Other_Short
Generic,IXIA,unas,Other,Short,unas_Other_Short
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Exploits,Miscellaneous,ospf,Other,Long,ospf_Other_Long
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Exploits,ICMP,unas,Other,Short,unas_Other_Short
Generic,IXIA,unas,Other,Short,unas_Other_Short
Fuzzers,DCERPC,tcp,Other,Short,tcp_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,skip,Other,Short,skip_Other_Short
DoS,Miscellaneous,udp,Other,Short,udp_Other_Short
DoS,SIP,udp,Registered,Short,udp_Registered_Short
Exploits,SMB,cftp,Other,Short,cftp_Other_Short
DoS,TCP,unas,Other,Short,unas_Other_Short
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
Reconnaissance,SunRPC Portmapper (UDP),udp,RPC,Short,udp_RPC_Short
DoS,Miscellaneous,sprite-rpc,Other,Short,sprite-rpc_Other_Short
Exploits,Miscellaneous,tcp,Mail,Medium,tcp_Mail_Medium
DoS,Ethernet,nsfnet-igp,Other,Short,nsfnet-igp_Other_Short
Fuzzers,OSPF,ospf,Other,Long,ospf_Other_Long
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
Fuzzers,SMB,tcp,Other,Short,tcp_Other_Short
Exploits,Web Application,ipv6,Other,Short,ipv6_Other_Short
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Reconnaissance,SunRPC Portmapper (UDP) UDP Service,udp,RPC,Short,udp_RPC_Short
Exploits,Miscellaneous Batch,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Miscellaneous,ipv6-route,Other,Short,ipv6-route_Other_Short
Exploits,Miscellaneous,snp,Other,Short,snp_Other_Short
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Generic,IXIA,tcp,Web,Short,tcp_Web_Short
Exploits,Miscellaneous,tcp,Registered,Medium,tcp_Registered_Medium
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Miscellaneous,uti,Other,Short,uti_Other_Short
Reconnaissance,ICMP,aris,Other,Short,aris_Other_Short
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Backdoors,,aris,Other,Short,aris_Other_Short
Exploits,Browser FTP,tcp,Other,Medium,tcp_Other_Medium
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,RPC,Medium,tcp_RPC_Medium
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Fuzzers,OSPF,mhrp,Other,Short,mhrp_Other_Short
Exploits,Miscellaneous Batch,tcp,Other,Short,tcp_Other_Short
Exploits,Miscellaneous Batch,unas,Other,Short,unas_Other_Short
Exploits,Clientside,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,OSPF,ospf,Other,Long,ospf_Other_Long
Exploits,Miscellaneous,pri-enc,Other,Short,pri-enc_Other_Short
Reconnaissance,ICMP,a/n,Other,Short,a/n_Other_Short
Fuzzers,SMB,udp,Other,Long,udp_Other_Long
Fuzzers,OSPF,sctp,Other,Short,sctp_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Web Application,bna,Other,Short,bna_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,compaq-peer,Other,Short,compaq-peer_Other_Short
Exploits,SMTP,unas,Other,Short,unas_Other_Short
Exploits,Clientside,tcp,Web,Medium,tcp_Web_Medium
Exploits,FTP,tcp,Registered,Medium,tcp_Registered_Medium
Reconnaissance,ICMP,crudp,Other,Short,crudp_Other_Short
DoS,Miscellaneous,ipv6-no,Other,Short,ipv6-no_Other_Short
Exploits,Clientside,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,OSPF,dgp,Other,Short,dgp_Other_Short
DoS,Browser,tcp,Web,Medium,tcp_Web_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,RTSP,cbt,Other,Medium,cbt_Other_Medium
Reconnaissance,ICMP,mux,Other,Medium,mux_Other_Medium
Exploits,Miscellaneous,pgm,Other,Short,pgm_Other_Short
Exploits,SIP,swipe,Other,Short,swipe_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
DoS,Miscellaneous,ip,Other,Short,ip_Other_Short
Exploits,Miscellaneous,tcp,Database,Medium,tcp_Database_Medium
Generic,IXIA,udp,Registered,Short,udp_Registered_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Exploits,Web Application,il,Other,Short,il_Other_Short
Fuzzers,FTP,tcp,Other,Medium,tcp_Other_Medium
Exploits,Browser,tcp,Other,Medium,tcp_Other_Medium
Shellcode,Solaris,tcp,Registered,Short,tcp_Registered_Short
Exploits,Miscellaneous,sctp,Other,Short,sctp_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
DoS,ICMP,sctp,Other,Long,sctp_Other_Long
Generic,IXIA,zero,Other,Short,zero_Other_Short
Fuzzers,OSPF,pim,Other,Short,pim_Other_Short
Shellcode,Decoders,tcp,Registered,Medium,tcp_Registered_Medium
DoS,Miscellaneous,skip,Other,Short,skip_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,RPC,Medium,tcp_RPC_Medium
Backdoor,Unknown,unas,Other,Short,unas_Other_Short
Reconnaissance,ICMP,any,Other,Short,any_Other_Short
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
Generic,IXIA,tcp,Web,Medium,tcp_Web_Medium
Exploits,Miscellaneous,tcp,Database,Medium,tcp_Database_Medium
Exploits,Miscellaneous,srp,Other,Short,srp_Other_Short
Generic,IXIA,unas,Other,Short,unas_Other_Short
Exploits,TCP,unas,Other,Short,unas_Other_Short
Exploits,SMB,unas,Other,Short,unas_Other_Short
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
DoS,Miscellaneous,ipv6-route,Other,Short,ipv6-route_Other_Short
Reconnaissance,SunRPC Portmapper (UDP),udp,RPC,Short,udp_RPC_Short
DoS,Miscellaneous,hmp,Other,Short,hmp_Other_Short
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
DoS,Miscellaneous,secure-vmtp,Other,Short,secure-vmtp_Other_Short
Fuzzers,OSPF,mfe-nsp,Other,Short,mfe-nsp_Other_Short
Exploits,SMB,tcp,Other,Medium,tcp_Other_Medium
Fuzzers,OSPF,zero,Other,Short,zero_Other_Short
Fuzzers,OSPF,unas,Other,Short,unas_Other_Short
Exploits,SIP,pim,Other,Medium,pim_Other_Medium
DoS,Miscellaneous,idrp,Other,Short,idrp_Other_Short
DoS,NetBIOS/SMB,idrp,Other,Short,idrp_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,RPC,Medium,tcp_RPC_Medium
Fuzzers,BGP,tcp,Other,Short,tcp_Other_Short
Fuzzers,SMB,tcp,Other,Short,tcp_Other_Short
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
DoS,Browser,tcp,Web,Medium,tcp_Web_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Backdoor,Unknown,iso-ip,Other,Short,iso-ip_Other_Short
Shellcode,Mac OS X,tcp,Registered,Medium,tcp_Registered_Medium
Reconnaissance,ICMP,unas,Other,Short,unas_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,TFTP,udp,DNS,Short,udp_DNS_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Web Application,tcp,Web,Short,tcp_Web_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Reconnaissance,SunRPC Portmapper (UDP),udp,RPC,Short,udp_RPC_Short
Exploits,Clientside,ipv6-no,Other,Short,ipv6-no_Other_Short
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Shellcode,Decoders,tcp,Registered,Short,tcp_Registered_Short
Backdoor,Unknown,rdp,Other,Short,rdp_Other_Short
Exploits,Miscellaneous,tcp,Web,Medium,tcp_Web_Medium
Exploits,Clientside,tcp,Web,Medium,tcp_Web_Medium
Exploits,ICMP,l2tp,Other,Short,l2tp_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Fuzzers,OSPF,ospf,Other,Long,ospf_Other_Long
Backdoor,Unknown,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Fuzzers,BGP,tcp,Other,Short,tcp_Other_Short
Exploits,Miscellaneous,iso-tp4,Other,Short,iso-tp4_Other_Short
DoS,Miscellaneous,ospf,Other,Long,ospf_Other_Long
DoS,Miscellaneous,sps,Other,Short,sps_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Exploits,Web Application,tcp,Web,Medium,tcp_Web_Medium
Exploits,Miscellaneous,udp,Other,Short,udp_Other_Short
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Miscellaneous,sctp,Other,Short,sctp_Other_Short
Reconnaissance,ICMP,dgp,Other,Short,dgp_Other_Short
Generic,IXIA,unas,Other,Short,unas_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,RPC,Medium,tcp_RPC_Medium
DoS,Miscellaneous,sat-mon,Other,Short,sat-mon_Other_Short
Exploits,Browser FTP,tcp,Other,Medium,tcp_Other_Medium
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Miscellaneous,tcp,Mail,Short,tcp_Mail_Short
Fuzzers,OSPF,cftp,Other,Short,cftp_Other_Short
Reconnaissance,HTTP,tcp,Web,Medium,tcp_Web_Medium
Reconnaissance,HTTP,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Exploits,Browser,tcp,Other,Medium,tcp_Other_Medium
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Generic,IXIA,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,OSPF,unas,Other,Short,unas_Other_Short
Exploits,Web Application,wb-mon,Other,Short,wb-mon_Other_Short
Analysis,HTML,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Exploits,Browser,tcp,Ephemeral,Medium,tcp_Ephemeral_Medium
Exploits,Miscellaneous,isis,Other,Short,isis_Other_Short
Fuzzers,BGP,tcp,Other,Short,tcp_Other_Short
Exploits,Web Application,unas,Other,Short,unas_Other_Short
Exploits,Clientside,unas,Other,Short,unas_Other_Short
Reconnaissance,SunRPC Portmapper (UDP) TCP Service,udp,RPC,Short,udp_RPC_Short
Fuzzers,BGP,tcp,Other,Short,tcp_Other_Short
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
Analysis,Port Scanner,xnet,Other,Short,xnet_Other_Short
DoS,TCP,unas,Other,Short,unas_Other_Short
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Browser,tcp,Web,Short,tcp_Web_Short
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,ICMP,unas,Other,Short,unas_Other_Short
Fuzzers,OSPF,unas,Other,Short,unas_Other_Short
Exploits,Web Application,pri-enc,Other,Short,pri-enc_Other_Short
Generic,IXIA,ospf,Other,Medium,ospf_Other_Medium
Exploits,Miscellaneous,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Apache,unas,Other,Short,unas_Other_Short
Exploits,Web Application,tcp,Web,Medium,tcp_Web_Medium
DoS,Miscellaneous,pup,Other,Short,pup_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
DoS,Miscellaneous,crudp,Other,Short,crudp_Other_Short
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Web Application,3pc,Other,Short,3pc_Other_Short
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Exploits,Miscellaneous,tcp,Database,Short,tcp_Database_Short
Exploits,Miscellaneous,sctp,Other,Medium,sctp_Other_Medium
Exploits,Miscellaneous,trunk-1,Other,Short,trunk-1_Other_Short
Exploits,Miscellaneous,vrrp,Other,Short,vrrp_Other_Short
Exploits,Miscellaneous,ospf,Other,Long,ospf_Other_Long
Exploits,Miscellaneous,ippc,Other,Short,ippc_Other_Short
Exploits,SIP,ospf,Other,Long,ospf_Other_Long
DoS,Miscellaneous,pri-enc,Other,Short,pri-enc_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
Fuzzers,OSPF,iatp,Other,Short,iatp_Other_Short
DoS,Asterisk,argus,Other,Short,argus_Other_Short
Generic,IXIA,unas,Other,Short,unas_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
Generic,IXIA,tcp,Registered,Medium,tcp_Registered_Medium
DoS,Asterisk,pup,Other,Short,pup_Other_Short
Exploits,SMB,ipv6-route,Other,Short,ipv6-route_Other_Short
Exploits,Browser FTP,tcp,Ephemeral,Short,tcp_Ephemeral_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Cisco IOS,tcp,Web,Short,tcp_Web_Short
DoS,Browser,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,OSPF,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous Batch,unas,Other,Short,unas_Other_Short
Generic,IXIA,tcp,Mail,Short,tcp_Mail_Short
Exploits,Web Application,tcp,Web,Short,tcp_Web_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Reconnaissance,ICMP,unas,Other,Short,unas_Other_Short
Fuzzers,OSPF,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,ifmp,Other,Short,ifmp_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
DoS,TCP,pim,Other,Short,pim_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,RPC,Medium,tcp_RPC_Medium
Fuzzers,OSPF,ddp,Other,Short,ddp_Other_Short
Exploits,Office Document,tcp,Mail,Short,tcp_Mail_Short
Exploits,SMB,kryptolan,Other,Short,kryptolan_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
Exploits,Miscellaneous,any,Other,Short,any_Other_Short
Exploits,Apache,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
DoS,NetBIOS/SMB,tcp,Other,Medium,tcp_Other_Medium
Generic,SMTP,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,PPTP,tcp,Registered,Short,tcp_Registered_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,scps,Other,Short,scps_Other_Short
Exploits,Cisco IOS,tcp,Web,Medium,tcp_Web_Medium
Backdoor,Unknown,i-nlsp,Other,Short,i-nlsp_Other_Short
Reconnaissance,ICMP,unas,Other,Short,unas_Other_Short
Fuzzers,OSPF,gre,Other,Short,gre_Other_Short
Exploits,Miscellaneous,vines,Other,Short,vines_Other_Short
Fuzzers,SMB,tcp,Other,Short,tcp_Other_Short
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Exploits,Miscellaneous,a/n,Other,Short,a/n_Other_Short
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
DoS,Miscellaneous,udp,DNS,Short,udp_DNS_Short
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,RPC,Medium,tcp_RPC_Medium
DoS,Miscellaneous,aris,Other,Short,aris_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
Exploits,Clientside,tcp,Web,Medium,tcp_Web_Medium
Exploits,Miscellaneous,tcp,Other,Medium,tcp_Other_Medium
DoS,Browser,tcp,Web,Short,tcp_Web_Short
Backdoor,Unknown,mux,Other,Medium,mux_Other_Medium
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Fuzzers,HTTP,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,OSPF,nsfnet-igp,Other,Short,nsfnet-igp_Other_Short
Exploits,Web Application,tcp,Web,Short,tcp_Web_Short
DoS,Miscellaneous,zero,Other,Short,zero_Other_Short
Reconnaissance,ICMP,micp,Other,Short,micp_Other_Short
Reconnaissance,ICMP,ipcomp,Other,Short,ipcomp_Other_Short
Fuzzers,OSPF,unas,Other,Short,unas_Other_Short
Fuzzers,OSPF,micp,Other,Short,micp_Other_Short
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Fuzzers,PPTP,tcp,Registered,Medium,tcp_Registered_Medium
Exploits,Web Application,tcp,Web,Short,tcp_Web_Short
Exploits,Browser,tcp,Other,Medium,tcp_Other_Medium
DoS,IGMP,unas,Other,Short,unas_Other_Short
